ParameterIndex,X,SNAIL,miR34,miR200,ZEB,KEAP1,Ecadherin,NRF2,Weight
359,-1,1,1,1,-1,-1,1,-1,1
360,1,-1,1,1,-1,-1,1,-1,1
362,1,1,-1,-1,-1,1,1,-1,1
368,-1,-1,1,1,-1,-1,1,-1,1
369,1,-1,1,1,-1,-1,1,-1,1
371,-1,-1,1,1,-1,-1,1,1,1
372,1,-1,1,1,-1,-1,1,1,1
375,1,1,1,-1,1,1,-1,-1,1
376,1,-1,1,1,-1,-1,1,1,1
378,-1,-1,1,1,-1,-1,1,1,1
381,1,-1,1,1,-1,-1,1,1,1
383,1,-1,1,1,-1,-1,1,1,1
393,-1,1,-1,-1,1,1,-1,-1,1
394,1,-1,1,1,-1,-1,1,1,1
396,1,1,-1,-1,1,1,-1,-1,1
400,-1,-1,1,1,-1,-1,1,1,1
406,-1,1,-1,1,-1,1,1,-1,1
410,1,-1,1,1,-1,-1,1,-1,1
414,-1,-1,1,1,-1,-1,1,1,1
415,1,1,1,1,-1,1,1,-1,1
416,1,1,-1,-1,1,1,-1,1,1
418,1,-1,1,1,-1,-1,1,1,1
420,-1,-1,1,1,-1,-1,1,1,1
421,1,-1,1,1,-1,-1,1,-1,1
425,-1,1,-1,-1,1,1,-1,1,1
427,-1,-1,1,1,-1,-1,1,1,1
436,1,1,-1,-1,1,1,-1,-1,1
442,-1,1,-1,-1,1,1,-1,-1,1
443,-1,1,-1,-1,1,1,1,-1,1
445,1,1,-1,-1,1,1,-1,-1,1
446,1,-1,1,1,-1,-1,1,-1,1
447,-1,1,-1,-1,1,1,-1,1,1
449,-1,-1,-1,-1,1,1,1,1,1
450,1,1,-1,-1,1,1,1,1,1
452,1,1,-1,-1,1,1,-1,1,1
455,-1,-1,1,1,-1,-1,1,1,1
456,-1,1,-1,-1,1,1,-1,-1,1
459,-1,1,-1,-1,1,1,-1,-1,1
460,-1,-1,1,1,-1,-1,1,1,1
463,-1,-1,1,1,-1,-1,1,1,1
464,1,1,-1,-1,1,1,-1,-1,1
465,-1,-1,1,1,-1,-1,1,1,1
470,1,1,-1,-1,1,1,1,1,1
473,-1,-1,1,-1,1,1,-1,1,1
474,1,1,-1,-1,1,1,-1,-1,1
475,-1,1,-1,-1,1,1,-1,1,1
477,1,1,1,1,-1,-1,1,-1,1
479,-1,-1,1,1,-1,-1,1,1,1
481,-1,1,-1,1,-1,1,1,-1,1
484,1,1,1,1,-1,-1,1,-1,1
485,-1,1,-1,-1,1,1,-1,-1,1
486,1,1,-1,-1,1,1,-1,1,1
487,-1,-1,1,1,-1,-1,1,1,1
489,1,-1,1,1,-1,-1,1,-1,1
490,-1,1,-1,-1,1,1,-1,1,1
493,1,1,-1,-1,1,1,-1,-1,1
495,1,-1,1,1,-1,-1,1,1,1
