"Label","Network"
1,"GRHL2.GRHL2_0.1"
2,"WT"
3,"ZEB.miR200_2.1"
4,"GRHL2.GRHL2_0.2"
5,"miR200.miR200_0.1"
6,"miR200.ZEB_2.0"
7,"miR200.ZEB_2.1"
8,"SNAIL.SNAIL_0.1"
9,"ZEB.miR200_2.0"
10,"ZEB.ZEB_1.0"
11,"ZEB.ZEB_1.2"
12,"ZEB.GRHL2_2.0"
13,"ZEB.GRHL2_2.1"
14,"SNAIL.GRHL2_0.1"
15,"SNAIL.GRHL2_0.2"
16,"GRHL2.ZEB_2.0"
17,"GRHL2.ZEB_2.1"
18,"SNAIL.ZEB_1.2"
19,"GRHL2.miR200_0.1"
20,"GRHL2.SNAIL_0.2"
21,"GRHL2.miR200_0.2"
22,"GRHL2.SNAIL_0.1"
23,"SNAIL.ZEB_0.1"
24,"miR200.GRHL2_0.1"
25,"SNAIL.ZEB_0.2"
26,"SNAIL.ZEB_1.0"
27,"miR200.GRHL2_0.2"
28,"miR200.miR200_0.2"
29,"miR200.SNAIL_0.1"
30,"miR200.SNAIL_0.2"
31,"SNAIL.miR200_2.0"
32,"SNAIL.miR200_2.1"
