name,Total Positive cycles,Total Negative cycles,Frustration Boolean,Plasticity,JSD RACIPE,no signal FrusB,Frustration RACIPE,no signal FrusR
CLDN7-CDH1-1-0,5378,418,0.108836592,0.9593,1,0.094662942,0.491785561,0.483927437
SNAI1-ZEB1-1-0,5019,382,0.107893459,0.9621,0.111769244,0.092062036,0.501383415,0.488800701
SNAI1-ZEB1-1-2,5055,741,0.12966056,0.9623,0.121083894,0.117351234,0.505278682,0.49443648
miR-30c-SNAI2-2-0,5378,418,0.104292818,0.9638,0.970397393,0.090582291,0.493376102,0.487287502
TWIST1-TCF3-1-2,5378,418,0.117675323,0.9608,0.622988417,0.09230605,0.481545176,0.462323472
ZEB1-VIM-1-0,5378,418,0.106888736,0.9592,0.103234245,0.091270243,0.496775297,0.482993253
TGF-beta-SNAI2-1-0,4732,418,0.110568398,0.9462,0.109588278,0.094999547,0.501760549,0.488719219
TGF-beta-SNAI2-1-2,4732,1064,0.122233814,0.9127,0.132720691,0.109336649,0.506624321,0.495839797
miR-101-KLF8-2-0,5378,418,0.114504766,0.9548,1,0.094042455,0.541413941,0.527510712
GSC-ZEB2-1-0,5336,416,0.110134375,0.9573,0.100960376,0.094362631,0.493199406,0.477404468
GSC-ZEB2-1-2,5338,458,0.116431547,0.9596,0.104005705,0.105025408,0.489382145,0.472485605
OVOL2-ZEB1-2-0,5376,418,0.095702624,0.9549,0.100595129,0.078931001,0.49286625,0.47678429
GRHL2-ZEB1-2-0,5377,417,0.094369166,0.9531,0.099448315,0.077625213,0.493074514,0.477234733
GRHL2-ZEB1-2-1,5378,418,0.103361342,0.9573,0.093359409,0.089868169,0.489161229,0.471905085
ZEB1-GRHL2-2-1,4657,1139,0.113940309,0.9462,0.103896927,0.100720107,0.481032657,0.472199343
ZEB1-miR-141-2-0,4773,418,0.117031272,0.9474,1,0.093705872,0.501889482,0.487382233
miR-200b-TGF-beta-2-1,4114,1682,0.116956125,0.9242,0.145989792,0.104719727,0.489266587,0.472486785
miR-34a-SNAI2-2-1,4724,1072,0.119493243,0.9066,0.133398641,0.107923159,0.498040245,0.484289543
TWIST1-SNAI2-1-2,4655,1141,0.121776045,0.9459,0.118466794,0.110015576,0.489884187,0.473287634
TWIST1-TCF3-1-0,5378,418,0.111652366,0.9577,1,0.091082203,0.508056406,0.506282915
TWIST2-ZEB1-1-0,5054,398,0.108993141,0.9608,0.108215374,0.093168724,0.496949727,0.482782669
TWIST2-ZEB1-1-2,5074,722,0.129748078,0.9565,0.116659205,0.117754405,0.496716413,0.4829842
delta-NP63-alpha-SNAI2-1-2,4966,830,0.098549574,0.9622,0.099074462,0.080724607,0.490351108,0.473712225
ZEB2-miR-200a-2-0,3774,283,0.109708842,0.9582,0.111017189,0.09456058,0.500920506,0.487474169
ZEB2-miR-200a-2-1,3909,1887,0.126326061,0.9552,0.375194191,0.116678967,0.509518919,0.495293981
SNAI1-SNAI2-1-2,4878,918,0.120318258,0.9398,0.127343662,0.108348283,0.488689736,0.471684729
SNAI2-SNAI2-1-0,5377,418,0.105815554,0.9531,0.099229859,0.090220693,0.501975037,0.489170245
miR-200c-ZEB2-2-1,5184,612,0.116932683,0.9538,0.108433307,0.105068839,0.488864162,0.471706034
miR-30c-ZEB2-2-1,5378,418,0.109333453,0.959,0.101920567,0.091420915,0.489344989,0.482875931
TWIST2-SNAI1-1-0,4791,373,0.087555525,0.9501,0.119539207,0.070723099,0.509382196,0.495183886
SNAI1-miR-34a-2-0,3862,303,0.097503437,0.9498,0.119172012,0.08232426,0.497763924,0.483194562
ZEB2-CDH1-2-0,5378,418,0.108124393,0.9555,0.102023384,0.092233134,0.495170141,0.483311751
ZEB1-miR-200c-2-0,4950,418,0.100601343,0.9544,0.111922289,0.084696472,0.500986917,0.488699165
ZEB1-miR-200c-2-1,4950,846,0.122076447,0.9457,0.363519408,0.11395714,0.488335651,0.48021658
TCF3-CDH1-2-0,5378,418,0.109762595,0.9585,1,0.094255349,0.508057679,0.506238729
GSC-TWIST1-1-2,4217,1579,0.121321857,0.9447,0.144638992,0.108544487,0.503108584,0.491338482
miR-200a-ZEB2-2-0,5184,418,0.106898403,0.9549,0.101420121,0.091317915,0.501580929,0.48855158
SNAI2-miR-200b-2-0,4322,304,0.119807536,0.9565,0.108887508,0.105900425,0.492527674,0.476560795
ZEB1-CLDN7-2-0,5378,418,0.1134708,0.9595,1.01265,0.093862902,0.491836036,0.496032118
ZEB1-CLDN7-2-1,5378,418,0.115655915,0.9586,0.101206956,0.092615456,0.48996609,0.483307219
OVOL2-OVOL2-2-0,5378,417,0.10241,0.9632,0.111865491,0.084326667,0.492442804,0.476361989
OVOL2-OVOL2-2-1,5379,417,0.102544554,0.9637,0.122885906,0.084218421,0.486942259,0.470005022
miR-200c-TGF-beta-2-0,4079,311,0.10941638,0.9577,0.105331122,0.093746272,0.492749948,0.477005538
miR-205-ZEB2-2-1,5378,418,0.108451525,0.962,0.101510874,0.09254495,0.503980746,0.482919856
miR-101-ZEB2-2-1,4416,1380,0.117884385,0.9613,0.117162297,0.104359015,0.488749818,0.471522654
miR-141-TGF-beta-2-0,5071,418,0.109100153,0.9572,0.98377155,0.093654641,0.491877129,0.475798323
miR-34a-TWIST2-2-1,4019,1777,0.132899473,0.822,0.278102427,0.123052954,0.502235589,0.490234085
miR-34a-ZEB1-2-0,5113,382,0.106697694,0.9534,0.100152076,0.09016023,0.497004246,0.482393889
FOXC2-ZEB1-1-0,4200,288,0.106603722,0.9629,1,0.092277109,0.457053823,0.435570245
miR-141-ZEB2-2-0,5081,418,0.109418653,0.9523,0.104984485,0.094191119,0.501760863,0.488603357
miR-141-ZEB2-2-1,5081,715,0.115090232,0.9562,0.112925979,0.10379934,0.506028589,0.494498951
ZEB2-ZEB2-1-0,5377,418,0.109707978,0.9563,0.111113373,0.094305808,0.51277841,0.500282801
miR-9-ZEB2-2-0,5378,418,0.103637117,0.9548,0.102430357,0.090938822,0.494589422,0.483222219
ZEB1-miR-200a-2-0,4950,418,0.100180271,0.9491,0.114382095,0.083749639,0.492162274,0.476158965
ZEB2-miR-200c-2-0,3774,283,0.110820381,0.9592,0.112174992,0.095155201,0.4917366,0.475622636
ZEB2-miR-200c-2-1,3909,1887,0.127696085,0.9529,0.362902639,0.118470705,0.470035326,0.455355683
TWIST1-FOXC2-1-0,4853,363,0.110493912,0.9586,0.123087499,0.095228713,0.514392018,0.502157158
TWIST2-SNAI2-1-2,5069,727,0.117012195,0.9414,0.105904757,0.104054669,0.497018014,0.482750924
TWIST2-TWIST1-1-0,4161,322,0.107776387,0.9545,0.112301254,0.092250498,0.497532908,0.483129653
SNAI1-ZEB2-1-2,4944,852,0.119670247,0.96,0.119663712,0.105385507,0.489763887,0.473050806
SNAI2-CDH1-2-0,5378,418,0.110665011,0.9594,0.103370741,0.093746369,0.494817499,0.483370752
SNAI1-CDH1-2-0,5378,418,0.10757886,0.9608,0.101674693,0.090874669,0.499849363,0.483335496
