name,pos_cycle,Total Negative cycles,Frustration Boolean,plast_2,JSD,no signal FrusB,Frustration RACIPE,no signal FrusR
CD24-ZEB1_2-0,10,2,0.129006452,0.6329,1,0.134422222,0.50054344,0.512621019
CD24-ZEB1_2-1,10,3,0.160721875,0.5598,0.155696385,0.164317241,0.522759854,0.524312232
TGFB-SNAIL1_1-0,7,2,0.139125806,0.601,1,0.155373077,0.492314403,0.511505379
miR190-TGFB_2-0,9,2,0.13366129,0.6648,1,0.13837037,0.510242346,0.509342623
miR190-TGFB_2-1,9,4,0.170484375,0.6199,0.251629078,0.172568966,0.523386958,0.523716125
ZEB1-GRHL2_2-1,9,4,0.157965625,0.4608,0.806069694,0.163862069,0.536149742,0.55459145
ZEB1-HAS2_2-0,11,1,0.122225806,0.7316,1,0.125940741,0.480844946,0.492387037
SNAIL1-CDH1_2-1,11,2,0.152809375,0.6862,0.249589816,0.1457,0.528343328,0.529866726
Ex_TGFB-SNAIL1_1-2,11,2,0.1329,0.6758,0.113737048,0.13337931,0.536562937,0.538996906
GRHL2-CD24_1-0,10,2,0.151070968,0.6199,1,0.144140741,0.515977549,0.521202803
ZEB1-miR200_2-1,9,4,0.17750625,0.5058,0.436798394,0.180862069,0.533161925,0.524561552
SNAIL1-SNAIL1_2-1,12,1,0.121203125,0.8006,0.172196444,0.111772414,0.509889156,0.508753262
SNAIL1-VIM_1-0,11,2,0.126541935,0.6841,0.13659554,0.126785714,0.54215283,0.545320207
WT,11,2,0.1339625,0.6823,0,0.134327586,0.537350807,0.539934383
miR34-SNAIL1_2-0,10,2,0.093286406,0.6707,1,0.104663811,0.501666137,0.504813727
miR34-SNAIL1_2-1,10,3,0.121037582,0.6543,0.146091088,0.131406356,0.534569511,0.536956797
SNAIL1-miR34_2-0,10,2,0.141193548,0.6636,1,0.138996296,0.492307428,0.493831724
ZEB1-miR1199_2-1,10,3,0.15859375,0.5482,0.770930546,0.162175862,0.522028338,0.523603974
ZEB1-miR190_2-0,9,2,0.16006129,0.6599,1,0.159103704,0.503519031,0.511263172
HAS2-HA_1-0,11,1,0.12226129,0.7361,1.00545,0.113819231,0.506310108,0.510339231
HAS2-HA_1-2,12,1,0.104240625,0.7988,0.377077521,0.101489655,0.5046575,0.503722299
ZEB1-ESRP1_2-0,10,2,0.151122581,0.6165,1,0.159125926,0.522537843,0.525199203
ZEB1-ESRP1_2-1,10,3,0.162325,0.5892,0.136598969,0.166089655,0.525658039,0.528622928
CDH1-EMT_2-1,11,2,0.15586875,0.6886,0.249808753,0.134868966,0.536508382,0.522656679
ESRP1-CD44s_2-0,10,2,0.150664516,0.6249,1,0.148919231,0.520966522,0.532085212
ZEB1-miR340_2-1,10,3,0.157909375,0.5483,0.767296718,0.161389655,0.539160098,0.542257083
ZEB1-VIM_1-0,11,2,0.127632258,0.6863,0.161289443,0.126128571,0.538600376,0.541339196
SNAIL1-CDH1_2-0,11,2,0.128106452,0.683,0.851765132,0.128082143,0.534253821,0.537904853
miR200-TGFB_2-1,9,4,0.16940625,0.6087,0.286076698,0.173465517,0.535780931,0.537296007
miR200-ZEB1_2-0,9,2,0.134,0.6182,0.128364729,0.134457143,0.534134479,0.53643083
SNAIL1-ZEB1_1-0,9,2,0.133532258,0.6932,0.122877541,0.133457143,0.537324894,0.539634719
GRHL2-ZEB1_2-1,10,3,0.154428125,0.5176,0.171683311,0.158034483,0.528766024,0.530988488
ZEB1-miR190_2-1,9,4,0.171528125,0.6256,0.788239292,0.173913793,0.542973266,0.54528533
ZEB1-miR200_2-0,9,2,0.143429032,0.5625,0.195054932,0.142964286,0.53873782,0.536298376
CD44s-ZEB1_1-2,10,3,0.1606,0.5783,0.133585069,0.164217241,0.544371742,0.548526723
SNAIL1-miR200_2-0,9,2,0.114883871,0.6786,0.134078464,0.115985714,0.535891898,0.539894436
SNAIL1-miR200_2-1,9,4,0.1476875,0.6638,0.232893815,0.152510345,0.531850185,0.531181248
miR1199-ZEB1_2-0,10,2,0.128822581,0.6079,1,0.134611111,0.500326751,0.493270957
ZEB1-CDH1_2-0,11,2,0.128096774,0.6868,0.189847881,0.126614286,0.533880972,0.535820166
miR340-ZEB1_2-0,10,2,0.12856129,0.6127,1,0.134074074,0.513011809,0.510986462
miR340-ZEB1_2-1,10,3,0.157796875,0.5241,0.167730129,0.161575862,0.548340794,0.552484309
SNAIL1-miR34_2-1,10,3,0.122099598,0.6509,0.324846575,0.132529564,0.519507072,0.520325367
GRHL2-CD24_1-2,10,3,0.1594625,0.5954,0.44804445,0.162917241,0.523320892,0.524416541
GRHL2-ZEB1_2-0,10,2,0.125248387,0.6123,0.128673874,0.125846429,0.533724683,0.536249871
ZEB1-HAS2_2-1,12,1,0.104803125,0.793,0.834642597,0.101958621,0.533504234,0.534501716
ZEB1-miR1199_2-0,10,2,0.147970968,0.5794,1,0.140781481,0.495850533,0.487592005
ESRP1-CD44s_2-1,10,3,0.16110625,0.5649,0.146468655,0.164903448,0.5188633,0.521264246
miR200-TGFB_2-0,9,2,0.125193548,0.6517,0.138661248,0.127439286,0.542368163,0.545638638
miR200-ZEB1_2-1,9,4,0.162428125,0.5388,0.177376512,0.164617241,0.529751275,0.531041338
ZEB1-VIM_1-2,11,2,0.1569125,0.6825,0.426449203,0.145586207,0.547879219,0.551322913
HA-ZEB1_1-0,11,1,0.10243871,0.7597,1,0.103333333,0.495139677,0.48604321
HA-ZEB1_1-2,12,1,0.103965625,0.7841,0.112268359,0.10102069,0.53152599,0.532134943
ZEB1-miR340_2-0,10,2,0.147048387,0.5904,1,0.139388889,0.515608479,0.504335135
ZEB1-GRHL2_2-0,9,2,0.146241935,0.5186,1,0.148373077,0.488446586,0.499863143
CDH1-EMT_2-0,11,2,0.132903226,0.6812,1,0.131318519,0.517090052,0.50597484
SNAIL1-VIM_1-2,11,2,0.15261875,0.6823,0.22381988,0.145782759,0.546011062,0.549380223
SNAIL1-ZEB1_1-2,9,4,0.156440625,0.6633,0.148005617,0.158062069,0.533126659,0.534465509
CD44s-ZEB1_1-0,10,2,0.132590323,0.6445,1,0.138533333,0.522539475,0.537374159
miR1199-ZEB1_2-1,10,3,0.156725,0.5238,0.169652505,0.160358621,0.552025937,0.556751052
SNAIL1-SNAIL1_2-0,11,1,0.105645161,0.7167,0.138929897,0.103253571,0.526141403,0.527194471
ZEB1-CDH1_2-1,11,2,0.156896875,0.6818,0.439122625,0.145689655,0.522135663,0.52323593
TGFB-SNAIL1_1-2,7,6,0.173103125,0.5592,0.247212055,0.178855172,0.524817088,0.524947274
VIM-EMT_1-2,11,2,0.154775,0.6898,0.268997197,0.133413793,0.512964418,0.529839803
VIM-EMT_1-0,11,2,0.133380645,0.6782,1,0.131762963,0.498846252,0.513834278
